prompt,response,quality_rating,criteria,human_rater
Write a Python script to read and process a large CSV file efficiently,"Read the entire CSV into a list, then process it.",1,Is the CSV processing approach efficient for large files?,bob
Explain the concept of regularization in machine learning,"L1 adds absolute values of weights to loss, L2 adds squared values. Both help prevent overfitting.",4,Is regularization explained correctly with L1 and L2 differences?,alice
What are Python decorators and how do you write one?,Decorators add functionality to functions using @syntax. They wrap the function.,7,Is the decorator concept explained correctly with a working example?,eve
What are Python decorators and how do you write one?,"def decorator(func):
    print('called')
    return func",1,Is the decorator concept explained correctly with a working example?,alice
Explain Python list comprehensions with an example,"A list comprehension creates a new list by applying an expression to each element.
squares = [x**2 for x in range(10)]
# [0, 1, 4, 9, 16, 25, 36, 49, 64, 81]
With filter:
evens = [x for x in range(20) if x % 2 == 0]",8,Is the explanation accurate and does the example work?,eve
What is horizontal scaling vs vertical scaling?,"Just use cloud services, they scale automatically.",2,Is the distinction accurate with tradeoffs explained?,david
Explain the Observer design pattern with a Python example,"The subject maintains a list of observers. When it changes, it calls update() on all observers.",6,Is the Observer pattern implemented correctly?,bob
Explain the difference between a Docker image and a container,They are basically the same thing. Containers are just running images.,1,Is the image vs container distinction clearly and accurately explained?,carol
"What is the difference between let, const, and var in JavaScript?","var is function scoped, let and const are block scoped. const cannot be reassigned.",4,Is the scoping and mutability distinction correct?,alice
Implement a binary search algorithm in Python,"def binary_search(arr, target):
    for i in range(len(arr)):
        if arr[i] == target:
            return i
    return -1  # This is linear search, not binary",2,Is the binary search implementation correct?,david
What is the difference between process and thread in operating systems?,Use multiprocessing for CPU tasks in Python. Use threading for I/O tasks.,5,Is the process/thread distinction explained correctly?,alice
How do you handle exceptions in Python?,"try:
    x = int(input('number: '))
except ValueError:
    print('Not a number')
else:
    print(f'Got {x}')  # runs only if no exception
finally:
    print('Done')  # always runs",9,Does the response explain try/except correctly with good examples?,alice
Explain dynamic programming with the Fibonacci sequence example,DP uses a table or memoization to avoid redundant computation.,4,Is dynamic programming explained correctly with memoization and tabulation?,eve
Write a Python script to read and process a large CSV file efficiently,"Generator pipeline:
def read_csv_rows(filepath):
    with open(filepath) as f:
        reader = csv.DictReader(f)
        yield from reader  # lazy — one row at a time

def filter_rows(rows, predicate):
    return (r for r in rows if predicate(r))

def transform(rows):
    return ({'name': r['name'].upper(), 'count': int(r['count'])} for r in rows)

# Compose pipeline: O(1) memory
rows = read_csv_rows('large.csv')
rows = filter_rows(rows, lambda r: int(r['count']) > 10)
rows = transform(rows)
for row in rows:
    db.insert(row)",10,Is the CSV processing approach efficient for large files?,david
How do you implement pagination in a REST API?,"Link headers (RFC 5988):
Link: </api/posts?page=3>; rel='next',
      </api/posts?page=1>; rel='prev',
      </api/posts?page=25>; rel='last'

Count query optimization:
Avoid SELECT COUNT(*) on large tables — expensive.
Alternatives: approximate counts, cached counts, skip total for cursor pagination.",10,Is pagination explained correctly with practical tradeoffs?,david
What are window functions in SQL and give an example,"PARTITION BY defines the window groups (like GROUP BY but keeps all rows):
ORDER BY within OVER() defines row ordering within window.

-- Detect previous order date per customer
SELECT customer_id, order_date,
       LAG(order_date) OVER (PARTITION BY customer_id ORDER BY order_date) AS prev_order
FROM orders;",8,Is the window function concept explained correctly with a working example?,david
Explain database normalization and the first three normal forms,Normal forms are levels of database design. Higher normal forms reduce redundancy but require more joins.,6,Is normalization explained correctly?,bob
What is the React useEffect hook and how do you use it correctly?,"Dependency array rules:
[] — run once on mount
[a, b] — run when a or b changes
omit — run every render

ESLint exhaustive-deps rule: all values used in effect should be in deps.

Avoid async in useEffect directly:
// WRONG: async effect function
useEffect(async () => { ... });

// CORRECT: call async function inside
useEffect(() => {
  async function load() { const data = await fetch(); setData(data); }
  load();
}, []);",10,Is useEffect explained correctly with cleanup and dependency array?,bob
What are React hooks rules and why do they exist?,"You can use hooks anywhere in your code, not just React components.",3,Are the rules of hooks explained correctly with the underlying reason?,eve
Explain the difference between React useState and useReducer,useReducer is the same as useState but slower because it goes through a reducer.,3,Is the distinction between the hooks explained correctly?,eve
What is the difference between interface and type in TypeScript?,"extends vs &:
interface Admin extends User { role: string; }
type Admin = User & { role: string; }  // roughly equivalent

interface errors are usually cleaner because TypeScript shows the interface name in errors rather than expanding the full type.",9,Is the distinction between interface and type accurate?,bob
What is HTTPS and how does TLS work?,HTTPS prevents all hacking and makes websites completely secure.,2,Is HTTPS/TLS explained correctly?,eve
What is a binary search tree and what are its time complexities?,Binary search trees allow O(log n) insert and search when balanced. Worst case is O(n) if unbalanced.,7,Is the BST explained correctly with accurate time complexity?,eve
Write a JavaScript function to deep clone an object,Deep cloning is automatic in JavaScript when you assign objects.,2,Is the deep clone implementation correct and complete?,carol
What are database transactions and why do they matter?,Transactions are used to speed up database queries.,2,Is ACID explained correctly with practical examples?,alice
Explain Python's property decorator,"property creates managed attributes with getter/setter/deleter methods.

class Circle:
    def __init__(self, radius):
        self._radius = radius

    @property
    def radius(self) -> float:
        return self._radius

    @radius.setter
    def radius(self, value: float):
        if value < 0:
            raise ValueError('Radius must be non-negative')
        self._radius = value

    @property
    def area(self) -> float:
        return 3.14159 * self._radius ** 2

c = Circle(5)
c.radius = 10  # calls setter
print(c.area)  # computed property",8,Is the property decorator explained correctly with getter/setter/deleter?,alice
Explain the SOLID principles in software design,"D — Dependency Inversion: high-level modules depend on abstractions, not concretions.

# Bad: high-level depends on low-level
class UserService:
    def __init__(self):
        self.mailer = SMTPMailer()  # concrete

# Good: depend on abstraction
class UserService:
    def __init__(self, mailer: EmailService):  # interface
        self.mailer = mailer",9,Are the SOLID principles explained correctly with examples?,alice
Explain Python's __dunder__ (magic) methods,Dunder methods are private methods that cannot be called directly.,1,Are Python dunder methods explained correctly with practical examples?,alice
Write a JavaScript function to deep clone an object,"// Simplest for JSON-serializable data:
function deepClone(obj) {
  return JSON.parse(JSON.stringify(obj));
}
// Limitation: loses undefined, functions, Date, RegExp, circular refs

// Modern: structuredClone (built-in, handles more types)
const clone = structuredClone(obj);  // ES2022+",8,Is the deep clone implementation correct and complete?,david
Explain the Observer design pattern with a Python example,"Observer pattern lets objects subscribe to events. When the event occurs, all subscribers are notified.",7,Is the Observer pattern implemented correctly?,david
Write an async JavaScript function to fetch data from an API,"async function fetchWithRetry(url, retries = 3) {
  for (let i = 0; i < retries; i++) {
    try {
      const res = await fetch(url);
      if (!res.ok) throw new Error(res.status);
      return await res.json();
    } catch (e) {
      if (i === retries - 1) throw e;
      await new Promise(r => setTimeout(r, 1000 * (i + 1)));
    }
  }
}",10,Is the async/await usage correct and does it handle errors?,alice
"Explain TypeScript utility types: Partial, Required, Pick, Omit",Partial means the type is partially defined and might cause runtime errors.,3,Are the utility types explained correctly with examples?,david
What is GraphQL and how does it differ from REST?,GraphQL is replacing REST completely in modern applications.,2,Is the GraphQL vs REST distinction explained correctly?,eve
Write a JavaScript function to debounce another function,"// Compare debounce vs throttle:
// Debounce: fires only AFTER activity stops for `delay` ms
// Throttle: fires at most once per `delay` ms interval

function debounce(fn, delay) {
  let id;
  return (...args) => {
    clearTimeout(id);
    id = setTimeout(() => fn(...args), delay);
  };
}",10,Is the debounce implementation correct?,alice
How does Python's memory management and garbage collection work?,Python has no garbage collection. You must manually delete objects.,1,Is Python's memory management explained correctly?,david
What are React hooks rules and why do they exist?,Hooks only work with class components.,1,Are the rules of hooks explained correctly with the underlying reason?,david
Write a JavaScript function to debounce another function,"function debounce(fn, ms, immediate = false) {
  let timeout;
  return function(...args) {
    const later = () => {
      timeout = null;
      if (!immediate) fn.apply(this, args);
    };
    const callNow = immediate && !timeout;
    clearTimeout(timeout);
    timeout = setTimeout(later, ms);
    if (callNow) fn.apply(this, args);
  };
}",10,Is the debounce implementation correct?,bob
How do you write a good commit message?,One-word commit messages like 'fix' are clear and concise.,3,Is the commit message guidance practical and correct?,alice
How does prototypal inheritance work in JavaScript?,"Every JS object has an internal [[Prototype]] link to another object.

function Animal(name) { this.name = name; }
Animal.prototype.speak = function() {
  return `${this.name} makes a sound`;
};

function Dog(name) { Animal.call(this, name); }
Dog.prototype = Object.create(Animal.prototype);
Dog.prototype.constructor = Dog;
Dog.prototype.bark = function() { return 'Woof!'; };

const d = new Dog('Rex');
d.bark();   // Woof! (own prototype)
d.speak();  // Rex makes a sound (inherited)",10,Is the prototype chain explained correctly?,david
Write an async JavaScript function to fetch data from an API,"async function fetchData(url) {
  const res = await fetch(url);
  return res.json();
}",7,Is the async/await usage correct and does it handle errors?,eve
What is GraphQL and how does it differ from REST?,GraphQL uses SQL under the hood to query the database.,3,Is the GraphQL vs REST distinction explained correctly?,bob
What is a Kubernetes Pod and how does it differ from a container?,A Pod wraps containers and gives them a shared IP address. Pods can be scaled by Deployments.,4,Is the Pod concept explained correctly?,bob
How do you version a REST API and what are the tradeoffs?,"Add the version to the URL or a header. Never remove fields, only add them to avoid breaking clients.",6,Are API versioning strategies explained correctly?,carol
Explain the difference between authentication and authorization,"If you have authentication, you don't need authorization.",3,Is the auth/authz distinction correctly explained?,bob
How do you version a REST API and what are the tradeoffs?,"Versioning lifecycle:
1. Release v2
2. Deprecate v1 (add Deprecation header)
3. Sunset date: Sunset: Sat, 01 Jan 2025 00:00:00 GMT
4. Monitor usage (who's still on v1?)
5. Remove after sunset

Deprecation header:
Deprecation: version=v1
Sunset: 2025-01-01T00:00:00Z",8,Are API versioning strategies explained correctly?,eve
What is the difference between interface and type in TypeScript?,Types are faster because TypeScript compiles them differently.,1,Is the distinction between interface and type accurate?,carol
What is a binary search tree and what are its time complexities?,A BST has nodes where the left child is smaller and the right child is larger. Search is O(log n).,7,Is the BST explained correctly with accurate time complexity?,david
Design a rate limiting system for an API,Use a database transaction to count and limit requests atomically.,1,Is the rate limiting design practical and complete?,eve
Explain Python generators and when to use them,"def gen():
    for i in range(10):
        yield i  # produces values one at a time",4,Is the generator concept correct with a practical use case?,bob
What is connection pooling and why does it matter for database performance?,Use connection pooling in production to improve performance and handle concurrent requests.,7,Is connection pooling explained correctly with practical guidance?,alice
Explain the difference between BFS and DFS graph traversal,"DFS is used only for trees, BFS is used for graphs.",3,Is BFS vs DFS explained correctly with appropriate use cases?,carol
Explain microservices vs monolithic architecture,"When microservices make sense:
✓ Large team (Conway's law: architecture mirrors org structure)
✓ Different scaling requirements per service
✓ Different release cadences
✓ Need polyglot tech stack

When to stay monolithic:
✓ Small team
✓ Early-stage product (requirements changing fast)
✓ Simple domain
✓ 'Modular monolith' can give many benefits without distributed system complexity",9,Is the comparison accurate with honest tradeoffs?,bob
Explain JavaScript's 'this' keyword and how context works,Arrow functions have their own 'this' which is always the function itself.,1,Is 'this' binding explained correctly with common pitfalls?,eve
How does Python handle imports and what is the module system?,Python imports load modules. sys.path determines where Python looks for modules.,5,Is Python's import system explained correctly?,alice
What are window functions in SQL and give an example,Window functions let you calculate values across rows without grouping. OVER() defines the window.,4,Is the window function concept explained correctly with a working example?,eve
Explain Python's __dunder__ (magic) methods,Implement __len__ and __getitem__ to make your class iterable.,6,Are Python dunder methods explained correctly with practical examples?,eve
Write a bash script to find all files larger than 100MB in a directory,"#!/bin/bash
# Cross-platform (works on macOS and Linux)
find ""${1:-.}"" -type f | while IFS= read -r f; do
  size=$(wc -c < ""$f"" 2>/dev/null)
  if [ ""$size"" -gt 104857600 ]; then  # 100 * 1024 * 1024
    echo ""$((size/1048576))MB $f""
  fi
done | sort -rn",9,Is the bash script correct and does it handle edge cases?,bob
Explain JavaScript closures with an example,"A closure is a function that retains access to its outer scope even after the outer function returns.

function makeCounter() {
  let count = 0;
  return function() {
    count++;
    return count;
  };
}

const counter = makeCounter();
counter(); // 1
counter(); // 2  — count persists in closure",9,Is the closure concept explained correctly with a working example?,bob
Explain database normalization and the first three normal forms,Always use the highest normal form for best performance.,1,Is normalization explained correctly?,bob
What is a database view and when should you use one?,"Updatable views:
Simple views on single table can be inserted/updated through.
Complex views (with joins, aggregates) are read-only.

Use WITH CHECK OPTION to prevent inserts that wouldn't appear in view:
CREATE VIEW active_users AS
SELECT * FROM users WHERE active = true
WITH CHECK OPTION;  -- INSERT must satisfy WHERE condition",9,Is the view concept explained correctly?,eve
What are the main HTTP methods and when should each be used?,"RESTful naming:
POST   /articles        — create article
GET    /articles        — list articles
GET    /articles/42     — get article 42
PUT    /articles/42     — replace article 42
PATCH  /articles/42     — update fields of article 42
DELETE /articles/42     — delete article 42
POST   /articles/42/publish — action that doesn't fit CRUD",9,Are the HTTP methods described accurately with correct use cases?,alice
Write a Python function to reverse a string,"def reverse_string(s):
    return s[::-1]  # O(n) time, O(n) space",8,Is the response correct and Pythonic?,alice
What is horizontal scaling vs vertical scaling?,"CAP theorem relevance:
Horizontal scaling introduces network partitions.
Must choose: Consistency or Availability during partition.
SQL DBs: prioritize C, hard to scale horizontally.
NoSQL (Cassandra, DynamoDB): prioritize A, designed for horizontal scale.",9,Is the distinction accurate with tradeoffs explained?,david
Explain CSS flexbox and when to use it vs CSS grid,Flexbox distributes space along one axis. Grid defines both rows and columns.,5,Is flexbox vs grid explained correctly?,david
Explain TCP vs UDP and when to use each,"TCP (Transmission Control Protocol):
- Connection-oriented (3-way handshake)
- Reliable: guaranteed delivery, ordering, retransmission
- Flow control and congestion control
- Higher overhead
- Use for: HTTP, SMTP, SSH, FTP — anything requiring reliability

UDP (User Datagram Protocol):
- Connectionless
- Best-effort: no delivery guarantees, no ordering
- Low overhead, low latency
- Use for: DNS, streaming video, gaming, WebRTC, QUIC",9,Is the TCP/UDP distinction accurate with appropriate use cases?,carol
What is horizontal scaling vs vertical scaling?,Vertical scaling means making a server more powerful. Horizontal scaling means adding more servers.,6,Is the distinction accurate with tradeoffs explained?,eve
Write a Python function to reverse a string,You can reverse a string using slicing: s[::-1]. This works for most cases.,4,Is the response correct and Pythonic?,eve
Explain async/await in Python and when to use asyncio,"asyncio.gather vs asyncio.create_task:
gather: run coroutines concurrently, wait for all
tasks: schedule coroutine without waiting immediately

task = asyncio.create_task(background_job())
await do_other_work()
result = await task

asyncio.timeout (Python 3.11+):
async with asyncio.timeout(5.0):
    result = await slow_operation()",9,Is async/await and asyncio explained correctly?,carol
What is infrastructure as code and why is it important?,IaC means writing code to provision and manage infrastructure instead of configuring it manually.,7,Is IaC explained correctly with key benefits?,alice
Explain the difference between authentication and authorization,"HTTP errors:
401 Unauthorized = NOT authenticated (confusing name)
403 Forbidden = authenticated but NOT authorized

JWT auth:
Authn: verify JWT signature → confirms identity
Authz: check JWT claims (role: 'admin') → confirms permissions

def require_admin(user):
    if not user:  # 401
        raise HTTPException(401, 'Not authenticated')
    if user.role != 'admin':  # 403
        raise HTTPException(403, 'Admin required')",8,Is the auth/authz distinction correctly explained?,carol
"Explain TypeScript utility types: Partial, Required, Pick, Omit","Composing utility types:
// Updatable DTO: all optional except id required
type UpdateDto<T extends { id: unknown }> =
  Required<Pick<T, 'id'>> & Partial<Omit<T, 'id'>>;

function updateUser(dto: UpdateDto<User>) { ... }",8,Are the utility types explained correctly with examples?,bob
What is the difference between process and thread in operating systems?,"Thread synchronization primitives:
Lock: mutual exclusion (only one thread at a time)
RLock: reentrant lock (same thread can acquire multiple times)
Semaphore: allow N concurrent accesses
Event: signal between threads
Queue: thread-safe data exchange

Deadlock: threads waiting for each other's locks.
Prevention: always acquire locks in consistent order.",9,Is the process/thread distinction explained correctly?,david
Explain CSS flexbox and when to use it vs CSS grid,CSS grid and flexbox are the same thing.,1,Is flexbox vs grid explained correctly?,bob
Write a SQL query to find the top 5 customers by total order value,SELECT * FROM customers LIMIT 5;,1,Is the SQL syntactically correct and logically sound?,carol
Explain Python list comprehensions with an example,They are a shorthand for loops. squares = [x*x for x in range(10)],6,Is the explanation accurate and does the example work?,carol
Explain the SOLID principles in software design,SOLID means your code should be solid and not have bugs.,1,Are the SOLID principles explained correctly with examples?,carol
What is the difference between supervised and unsupervised learning?,Supervised = classification/regression. Unsupervised = clustering.,7,Is the distinction clear with good examples of each?,david
Explain what precision and recall are and when to optimize for each,Use whichever is higher as your primary metric.,1,Is the precision/recall tradeoff explained correctly?,eve
What are Python decorators and how do you write one?,"def my_decorator(func):
    def wrapper(*args):
        print('before')
        func(*args)
        print('after')
    return wrapper",7,Is the decorator concept explained correctly with a working example?,carol
Write a Python function to reverse a string,"def reverse_string(s):
    result = """"
    for ch in s:
        result = ch + result
    return result",8,Is the response correct and Pythonic?,bob
Explain WebSockets and when to use them over HTTP,"WebSockets provide a persistent connection for real-time communication. Unlike HTTP, both sides can send data.",6,Is the WebSocket explanation correct with appropriate use cases?,alice
Explain the difference between a Docker image and a container,"Image layers:
FROM python:3.11    # base layer
RUN pip install ... # new layer
COPY . /app         # new layer

Layers are cached and shared between images. Only changed layers are stored/transferred.

Container adds a thin writable layer on top. Stopped container retains writable layer.
docker commit → creates new image from container.",8,Is the image vs container distinction clearly and accurately explained?,carol
Explain Big O notation and why it matters,Big O doesn't matter for modern computers because they are fast.,1,Is Big O explained correctly with common examples?,eve
What are Python decorators and how do you write one?,Python has built-in decorators like @class and @function.,1,Is the decorator concept explained correctly with a working example?,bob
What is memoization and how do you implement it in Python?,"Built-in functools.lru_cache:
from functools import lru_cache, cache

@lru_cache(maxsize=128)  # LRU eviction when full
def fibonacci(n):
    if n < 2: return n
    return fibonacci(n-1) + fibonacci(n-2)

@cache  # Python 3.9+, unlimited size
def expensive(n): ...

fibonacci.cache_info()   # CacheInfo(hits=5, misses=10, ...)
fibonacci.cache_clear()  # clear the cache",10,Is memoization implemented correctly with cache invalidation consideration?,eve
What is the JavaScript event loop and how does it work?,"console.log('1');
setTimeout(() => console.log('3'), 0);
Promise.resolve().then(() => console.log('2'));
console.log('4');

// Output: 1, 4, 2, 3
// 1,4: synchronous
// 2: microtask (Promise) runs before next macrotask
// 3: macrotask (setTimeout) runs last",9,Is the event loop explained correctly with microtasks and macrotasks?,david
What is infrastructure as code and why is it important?,"GitOps: IaC in git, CI/CD auto-applies to environments.
PR for infrastructure change → code review → merge → auto-apply.

Testing IaC:
terraform validate — syntax
tflint — linting
terraform plan — preview (diff)
checkov — security scanning
terratest — integration test deployed infrastructure.",9,Is IaC explained correctly with key benefits?,alice
Explain CI/CD and the difference between continuous integration and continuous deployment,CI means automatically testing code on every commit. CD means automatically deploying tested code.,7,Is CI/CD explained accurately?,alice
Explain Python's __dunder__ (magic) methods,"Container protocol:
__len__: len(obj)
__contains__: x in obj
__iter__: for x in obj
__next__: next element in iteration
__getitem__: obj[key]
__setitem__: obj[key] = value
__delitem__: del obj[key]

__slots__: declare attributes, avoids __dict__, saves memory.",10,Are Python dunder methods explained correctly with practical examples?,alice
Explain Big O notation and why it matters,Big O describes worst-case performance as input grows. O(log n) means very efficient.,6,Is Big O explained correctly with common examples?,alice
Explain Python list comprehensions with an example,"Syntax: [expression for item in iterable if condition]
Example:
matrix = [[1,2,3],[4,5,6]]
flat = [x for row in matrix for x in row]  # [1,2,3,4,5,6]",9,Is the explanation accurate and does the example work?,eve
Explain the difference between clustered and non-clustered indexes,"Analogy:
Clustered = phone book (data sorted by last name — physical order)
Non-clustered = book index (separate list of words → page numbers)

SQL Server example:
-- Clustered (one per table, often PK)
CREATE CLUSTERED INDEX idx_pk ON orders(order_id);

-- Non-clustered (many allowed)
CREATE NONCLUSTERED INDEX idx_email ON users(email);

Included columns to avoid key lookup:
CREATE INDEX idx_email_inc ON users(email) INCLUDE (name, created_at);",10,Is the index type distinction accurate?,carol
Explain AWS S3 and when to use it vs a database,Store file paths in your database and actual files in S3. S3 is cheaper for large files.,4,Is the S3 vs database distinction explained correctly?,eve
How do you write a good commit message?,Always start commit messages with 'Updated' or 'Changed'.,1,Is the commit message guidance practical and correct?,eve
Write a JavaScript function to deep clone an object,const clone = {...original} only shallow clones. Use JSON or structuredClone for deep clone.,5,Is the deep clone implementation correct and complete?,david
How do you implement pagination in a REST API?,Add page and limit query params. Calculate offset as (page-1) * limit.,4,Is pagination explained correctly with practical tradeoffs?,carol
What is cache invalidation and what strategies exist?,Always use infinite TTL for best performance.,3,Are cache invalidation strategies explained correctly?,eve
Explain dynamic programming with the Fibonacci sequence example,Dynamic programming breaks problems into subproblems and stores results to avoid recalculation.,6,Is dynamic programming explained correctly with memoization and tabulation?,david
What is a neural network and how does it learn?,"Neural networks have input, hidden, and output layers. They learn by adjusting weights using backpropagation.",7,Is the neural network and backpropagation explanation accurate?,alice
What is database sharding and when do you need it?,"Shard key selection is critical:
Good: user_id (user data is isolated per shard)
Bad: country (uneven — US shard overloaded)

Cross-shard operations are expensive:
JOIN across shards: application-level, slow
Transactions across shards: 2PC, very complex
Aggregations: scatter-gather across all shards

Rule: choose shard key so most queries hit one shard.",9,Is sharding explained correctly with appropriate caveats?,alice
Explain AWS S3 and when to use it vs a database,"S3 vs Database:

S3:
+ Store large blobs (images, videos, documents)
+ Cost-effective for large files ($0.023/GB vs $0.10+/GB for RDS)
+ CDN-friendly (serve directly via CloudFront)
- No querying (can't SELECT WHERE)
- No transactions
- Eventual consistency (though now read-after-write consistent)

Database:
+ Queryable, relational, transactional
+ Fast lookups on indexed columns
- Store file path/URL in DB, file itself in S3",10,Is the S3 vs database distinction explained correctly?,eve
Explain SQL injection and how to prevent it,SQL injection is when attackers put SQL code in form fields. Use parameterized queries to prevent it.,5,Is the SQL injection explanation correct with concrete prevention measures?,alice
Write a Python context manager for database transactions,def transaction(): pass  # pass the session as a parameter,1,Is the context manager implemented correctly?,alice
Explain SQL injection and how to prevent it,"Attack types:
- In-band SQLi: data returned in app response
- Blind SQLi: true/false inference (no visible output)
- Time-based: SLEEP() to infer data
- Error-based: extract data from error messages

SQL Server: EXEC xp_cmdshell 'net user' — can execute OS commands!

Defense in depth:
- Parameterized queries (primary)
- WAF to block patterns
- Error pages that don't reveal DB structure
- Monitor for unusual query patterns",9,Is the SQL injection explanation correct with concrete prevention measures?,alice
What is transfer learning and why is it so powerful?,"Transfer learning: take a model pre-trained on a large dataset and fine-tune it on a smaller domain-specific dataset.

Why it works: lower layers learn universal features (edges, textures, grammar) that transfer across tasks.

CV example:
ImageNet-pretrained ResNet50 → fine-tune last few layers on your 1000-image medical dataset.
Without TL: need millions of images.
With TL: state-of-the-art with 1000 images.",8,Is transfer learning explained correctly?,carol
"What is the difference between let, const, and var in JavaScript?","const is for constants, let is for variables that change.",5,Is the scoping and mutability distinction correct?,bob
What is the CAP theorem in distributed systems?,Just use SQL databases to avoid CAP theorem problems.,3,Is the CAP theorem explained correctly?,bob
Explain how a content delivery network (CDN) works,"Cache headers control CDN behavior:
Cache-Control: max-age=86400, public  — cache for 1 day
Cache-Control: no-cache                — always revalidate
ETag: 'abc123'                         — fingerprint for conditional requests

Cache invalidation:
- Content-addressed URLs: /assets/app.a1b2c3.js (change hash when file changes)
- CDN purge API: invalidate specific paths on deploy

Providers: CloudFront (AWS), Akamai, Fastly, Cloudflare",9,Is the CDN explanation correct and practical?,carol
What is connection pooling and why does it matter for database performance?,Connection pooling is the same as connection caching.,3,Is connection pooling explained correctly with practical guidance?,david
What are Python type hints and why should you use them?,Type hints make code more readable and help catch bugs with static analysis tools.,4,Are type hints explained correctly with practical benefits?,carol
Explain the SOLID principles in software design,"S=one job per class, O=extend not modify, L=subclasses work like parents, I=small interfaces, D=inject deps.",7,Are the SOLID principles explained correctly with examples?,bob
Explain how a content delivery network (CDN) works,"CDNs store copies of your static files globally. When a user requests a file, they get it from the nearest CDN node.",7,Is the CDN explanation correct and practical?,david
What are Python type hints and why should you use them?,"Generic types:
from typing import TypeVar, Generic

T = TypeVar('T')

class Stack(Generic[T]):
    def __init__(self) -> None:
        self._items: list[T] = []
    def push(self, item: T) -> None:
        self._items.append(item)
    def pop(self) -> T:
        return self._items.pop()

s: Stack[int] = Stack()
s.push(42)  # mypy checks T=int",9,Are type hints explained correctly with practical benefits?,david
What is the React useEffect hook and how do you use it correctly?,Always use an empty dependency array to avoid infinite loops.,2,Is useEffect explained correctly with cleanup and dependency array?,bob
Explain OAuth 2.0 and how it enables third-party authorization,"OAuth 2.0 roles:
- Resource Owner: the user
- Client: third-party app requesting access
- Authorization Server: issues tokens (Google, GitHub, Okta)
- Resource Server: API that accepts tokens (Gmail API, GitHub API)

Grant types:
- Authorization Code: web apps (most secure)
- PKCE extension: single-page apps
- Client Credentials: machine-to-machine
- Device Code: smart TVs

OAuth 2.0 ≠ authentication. Add OpenID Connect (OIDC) for identity (id_token).",9,Is the OAuth 2.0 flow explained correctly?,david
Explain the Observer design pattern with a Python example,"Observer decouples producers from consumers:
Before: user_service directly calls email_service, analytics, notification
After: user_service emits 'user_created', each service subscribes independently

Benefits: add/remove listeners without changing Subject.
Caution: hard to trace what happens for an event; can create infinite loops.",9,Is the Observer pattern implemented correctly?,carol
Write a JavaScript function to debounce another function,"function debounce(fn, delay) {
  let timer;
  return function(...args) {
    clearTimeout(timer);
    timer = setTimeout(() => fn.apply(this, args), delay);
  };
}

// Usage: only fires 300ms after user stops typing
const handleInput = debounce((e) => search(e.target.value), 300);
input.addEventListener('input', handleInput);",10,Is the debounce implementation correct?,bob
Explain JavaScript closures with an example,Closures are the same as callbacks in JavaScript.,1,Is the closure concept explained correctly with a working example?,eve
How would you design a URL shortener like bit.ly?,"Custom aliases: allow users to set custom slug.
Expiration: TTL on Redis + DB soft delete.
Analytics async: write clicks to Kafka → consumer aggregates → analytics DB.
Rate limiting: prevent abuse, max N shortens per IP/account.",10,Is the URL shortener design complete and sensible?,david
"What is the difference between IaaS, PaaS, and SaaS?","IaaS — Infrastructure: virtual machines, storage, networking.
You manage: OS, middleware, runtime, app, data.
Examples: AWS EC2, Azure VMs, GCP Compute Engine

PaaS — Platform: managed runtime, deploy code only.
You manage: app and data.
Examples: Heroku, AWS Elastic Beanstalk, Azure App Service

SaaS — Software: complete application, just configure.
You manage: settings and data inside the app.
Examples: Gmail, Salesforce, GitHub, Slack",9,Are the three cloud service models explained accurately?,bob
What is database sharding and when do you need it?,Sharding means backing up your database across multiple servers.,3,Is sharding explained correctly with appropriate caveats?,carol
Explain TCP vs UDP and when to use each,UDP is deprecated and should not be used in modern applications.,3,Is the TCP/UDP distinction accurate with appropriate use cases?,carol
What is connection pooling and why does it matter for database performance?,"Opening a DB connection is expensive: TCP handshake, auth, memory allocation — 20-100ms.
With connection pooling: maintain a pool of pre-established connections, reuse them.

Result: connection latency drops from 50ms → <1ms.

SQLAlchemy pool:
engine = create_engine(url,
    pool_size=10,        # permanent connections
    max_overflow=20,     # temporary burst connections
    pool_timeout=30,     # wait time if pool exhausted
    pool_recycle=3600,   # recycle connections hourly
)",8,Is connection pooling explained correctly with practical guidance?,eve
Explain CSS flexbox and when to use it vs CSS grid,Flexbox only works in Chrome. Use float for cross-browser compatibility.,2,Is flexbox vs grid explained correctly?,carol
What is cache invalidation and what strategies exist?,"Cache stampede (thundering herd):
Many requests miss cache simultaneously → all hit DB → DB overloaded.

Solutions:
- Probabilistic early expiration: refresh before TTL expires
- Background refresh: async refresh before expiry
- Distributed lock: only one thread refreshes, others wait
- Stale-while-revalidate: serve stale while refreshing in background",10,Are cache invalidation strategies explained correctly?,david
Explain blue-green deployment and canary deployment,Both reduce downtime compared to in-place deployments.,5,Are the deployment strategies explained correctly?,carol
What are database transactions and why do they matter?,"A transaction is a sequence of operations that executes as a single unit — either all succeed or all fail (atomicity).

ACID properties:
A — Atomicity: all-or-nothing
C — Consistency: moves DB from one valid state to another
I — Isolation: concurrent transactions don't interfere
D — Durability: committed data survives crashes

Example — bank transfer:
BEGIN;
UPDATE accounts SET balance = balance - 100 WHERE id = 1;
UPDATE accounts SET balance = balance + 100 WHERE id = 2;
COMMIT;  -- both succeed or neither (ROLLBACK on failure)",10,Is ACID explained correctly with practical examples?,carol
