conversation_id,model_a,model_b,winner,language,timestamp,tokens_in,tokens_out,latency_ms,cost_usd
lmsys_0000827,gpt-4,palm-2,model_a,French,2026-06-06T14:08:27.238241Z,894,1489,375,0.003267
lmsys_0000828,gemini-pro,claude-3-opus,model_a,French,2026-06-11T17:21:30.238241Z,576,945,350,0.002518
lmsys_0000829,gemini-pro,gpt-4-turbo,model_a,German,2026-06-06T05:01:14.238241Z,1233,852,535,0.001282
lmsys_0000830,claude-3-5-sonnet,llama-2-70b,model_a,German,2026-05-16T02:12:25.238241Z,377,1364,766,0.003814
lmsys_0000831,claude-3-5-sonnet,gemini-pro,model_b,Chinese,2026-06-08T05:48:27.238241Z,994,63,590,0.002394
lmsys_0000832,llama-2-70b,claude-3-opus,model_a,Chinese,2026-06-08T14:22:11.238241Z,161,498,1758,8e-06
lmsys_0000833,gpt-4,mistral-large,model_a,French,2026-06-01T14:54:59.238241Z,811,496,502,0.00511
lmsys_0000834,gpt-4,claude-3-5-sonnet,model_b,French,2026-05-14T00:34:23.238241Z,1768,1065,576,0.002554
lmsys_0000835,claude-3-5-sonnet,llama-2-70b,model_b,German,2026-05-18T07:32:38.238241Z,1492,62,1965,9e-05
lmsys_0000836,gpt-4,gemini-pro,model_b,German,2026-05-25T09:04:09.238241Z,194,165,633,0.001123
lmsys_0000837,llama-2-70b,gpt-4,model_a,German,2026-06-02T16:04:03.238241Z,59,218,1667,6.9e-05
lmsys_0000838,gpt-4-turbo,claude-3-opus,model_a,Japanese,2026-06-01T09:37:37.238241Z,1049,826,417,0.001193
lmsys_0000839,mistral-large,davinci-003,model_b,Spanish,2026-05-22T14:44:00.238241Z,1097,944,444,0.001516
lmsys_0000840,gpt-4-turbo,gpt-3.5-turbo,model_b,Spanish,2026-06-01T12:54:13.238241Z,1637,605,164,0.001144
lmsys_0000841,gpt-4-turbo,davinci-003,tie,Spanish,2026-05-26T10:27:17.238241Z,1776,696,312,0.00205
lmsys_0000842,gemini-pro,claude-3-5-sonnet,model_a,Chinese,2026-05-21T06:12:59.238241Z,856,635,312,0.000608
lmsys_0000843,gpt-4,gpt-3.5-turbo,model_b,French,2026-05-13T15:14:51.238241Z,1500,351,462,0.001583
lmsys_0000844,claude-3-5-sonnet,gemini-pro,model_a,German,2026-06-10T13:54:46.238241Z,1973,341,331,0.003404
lmsys_0000845,gpt-4,gpt-4-turbo,model_b,Chinese,2026-05-21T00:51:39.238241Z,1790,1255,448,0.001244
lmsys_0000846,mistral-large,davinci-003,tie,Japanese,2026-05-27T18:18:07.238241Z,235,151,1106,1.8e-05
lmsys_0000847,claude-3-5-sonnet,gpt-3.5-turbo,model_b,French,2026-06-05T17:08:44.238241Z,1657,1185,365,0.000567
lmsys_0000848,davinci-003,claude-3-5-sonnet,model_a,Spanish,2026-05-19T03:44:08.238241Z,869,982,467,0.001042
lmsys_0000849,llama-2-70b,davinci-003,model_a,French,2026-05-17T16:47:35.238241Z,1712,750,1329,6.2e-05
lmsys_0000850,mistral-large,gpt-3.5-turbo,model_a,Japanese,2026-05-21T03:20:18.238241Z,1479,620,652,9.3e-05
lmsys_0000851,gpt-4,gpt-4-turbo,model_b,German,2026-06-08T12:19:17.238241Z,437,1443,376,0.002925
lmsys_0000852,gpt-3.5-turbo,claude-3-5-sonnet,model_a,Chinese,2026-06-09T04:52:09.238241Z,178,143,268,0.001674
lmsys_0000853,mistral-large,davinci-003,tie,Chinese,2026-05-30T10:04:38.238241Z,1275,217,1361,2.6e-05
lmsys_0000854,mistral-large,davinci-003,model_a,French,2026-05-30T01:19:17.238241Z,172,1357,830,2.1e-05
lmsys_0000855,mistral-large,davinci-003,tie,French,2026-06-08T19:35:43.238241Z,1238,1352,1303,2e-05
lmsys_0000856,claude-3-opus,claude-3-5-sonnet,model_b,French,2026-05-20T15:27:37.238241Z,1628,922,618,0.001151
lmsys_0000857,mistral-large,llama-2-70b,tie,Japanese,2026-05-27T11:53:36.238241Z,571,595,1418,8e-06
lmsys_0000858,claude-3-opus,davinci-003,model_a,German,2026-05-19T15:27:16.238241Z,989,191,817,0.005027
lmsys_0000859,mistral-large,claude-3-5-sonnet,model_a,English,2026-05-31T08:22:13.238241Z,204,430,653,6.6e-05
lmsys_0000860,gpt-4,gpt-4-turbo,model_a,Chinese,2026-05-17T08:55:03.238241Z,30,760,544,0.005048
lmsys_0000861,llama-2-70b,mistral-large,tie,Spanish,2026-05-20T21:24:30.238241Z,200,711,1561,4.3e-05
lmsys_0000862,gpt-3.5-turbo,gpt-4-turbo,model_a,Chinese,2026-06-08T15:13:22.238241Z,831,713,497,0.001429
lmsys_0000863,gpt-3.5-turbo,claude-3-opus,model_b,German,2026-06-01T23:55:50.238241Z,254,233,712,0.005923
lmsys_0000864,palm-2,gpt-4-turbo,model_b,French,2026-05-29T07:21:08.238241Z,490,307,304,0.002913
lmsys_0000865,davinci-003,gpt-4,model_b,Spanish,2026-05-28T22:00:21.238241Z,1096,972,300,0.004814
lmsys_0000866,claude-3-opus,llama-2-70b,model_a,English,2026-05-19T14:58:38.238241Z,1802,1391,704,0.004595
lmsys_0000867,gpt-4,claude-3-opus,model_b,French,2026-05-24T20:12:02.238241Z,987,394,449,0.004117
lmsys_0000868,gemini-pro,gpt-3.5-turbo,tie,Chinese,2026-05-22T15:28:44.238241Z,1173,770,263,0.001019
lmsys_0000869,gpt-3.5-turbo,davinci-003,tie,English,2026-06-01T11:55:34.238241Z,1224,1251,588,0.002603
lmsys_0000870,claude-3-5-sonnet,palm-2,model_a,Chinese,2026-05-30T21:52:54.238241Z,642,719,676,0.002024
lmsys_0000871,davinci-003,gpt-4,model_a,English,2026-05-13T21:12:01.238241Z,552,939,247,0.002407
lmsys_0000872,claude-3-5-sonnet,gpt-3.5-turbo,model_b,Chinese,2026-06-04T19:58:04.238241Z,902,699,302,0.00171
lmsys_0000873,gemini-pro,llama-2-70b,tie,Spanish,2026-05-22T23:17:44.238241Z,1048,968,345,0.00075
lmsys_0000874,mistral-large,claude-3-5-sonnet,model_a,French,2026-05-16T04:22:46.238241Z,669,673,808,3.4e-05
lmsys_0000875,gpt-4,palm-2,model_b,Spanish,2026-05-29T19:25:35.238241Z,390,759,756,0.001974
lmsys_0000876,gpt-4-turbo,llama-2-70b,tie,German,2026-06-01T22:59:45.238241Z,1374,1057,1195,2.8e-05
lmsys_0000877,gemini-pro,gpt-4,tie,Japanese,2026-06-11T02:28:57.238241Z,450,987,361,0.000686
lmsys_0000878,gpt-4,claude-3-opus,model_a,Chinese,2026-06-02T13:19:16.238241Z,636,1188,287,0.003728
lmsys_0000879,claude-3-opus,palm-2,model_a,Japanese,2026-06-07T03:10:19.238241Z,127,320,489,0.004525
lmsys_0000880,mistral-large,gpt-4-turbo,tie,Spanish,2026-05-17T11:31:03.238241Z,1427,1203,1299,9e-05
lmsys_0000881,palm-2,gemini-pro,model_a,Chinese,2026-06-11T16:01:57.238241Z,1662,1225,564,0.002438
lmsys_0000882,gpt-4-turbo,palm-2,model_a,French,2026-05-25T09:17:02.238241Z,1683,513,489,0.004217
lmsys_0000883,claude-3-opus,davinci-003,tie,Japanese,2026-06-04T08:33:02.238241Z,68,1203,662,0.00176
lmsys_0000884,gpt-4-turbo,claude-3-5-sonnet,model_b,Japanese,2026-06-10T13:04:26.238241Z,987,720,369,0.00247
lmsys_0000885,llama-2-70b,davinci-003,model_a,French,2026-06-05T22:08:22.238241Z,1581,645,1422,2.2e-05
lmsys_0000886,davinci-003,claude-3-5-sonnet,tie,Chinese,2026-05-20T16:58:28.238241Z,1147,179,239,0.001758
lmsys_0000887,llama-2-70b,gpt-4-turbo,tie,Japanese,2026-05-21T13:10:03.238241Z,1741,386,697,7.1e-05
lmsys_0000888,gemini-pro,palm-2,model_a,Japanese,2026-05-21T23:30:32.238241Z,1730,732,576,0.001279
lmsys_0000889,gpt-3.5-turbo,gpt-4-turbo,tie,French,2026-05-26T09:46:50.238241Z,1710,89,418,0.004742
lmsys_0000890,claude-3-5-sonnet,mistral-large,model_a,German,2026-05-27T00:15:14.238241Z,1070,718,391,0.004641
lmsys_0000891,mistral-large,palm-2,tie,French,2026-05-25T08:24:09.238241Z,67,172,546,0.003464
lmsys_0000892,claude-3-5-sonnet,claude-3-opus,model_b,English,2026-06-03T02:08:01.238241Z,1776,243,613,0.004471
lmsys_0000893,gpt-4-turbo,gemini-pro,model_b,French,2026-05-13T18:53:22.238241Z,1821,1482,677,0.001012
lmsys_0000894,davinci-003,palm-2,model_a,French,2026-05-15T18:53:16.238241Z,1490,250,442,0.002875
lmsys_0000895,gemini-pro,davinci-003,model_a,Chinese,2026-05-29T22:12:47.238241Z,487,1446,798,0.001156
lmsys_0000896,claude-3-opus,gpt-4,model_a,German,2026-05-20T17:14:25.238241Z,1067,137,796,0.003171
lmsys_0000897,mistral-large,gemini-pro,tie,English,2026-05-15T00:06:47.238241Z,1286,1347,1020,7e-06
lmsys_0000898,gpt-4,gpt-3.5-turbo,tie,Chinese,2026-05-14T06:41:05.238241Z,1508,308,190,0.000716
lmsys_0000899,llama-2-70b,palm-2,model_b,Japanese,2026-06-12T00:22:00.238241Z,785,634,583,0.002919
lmsys_0000900,gpt-3.5-turbo,claude-3-opus,tie,English,2026-06-08T09:59:55.238241Z,442,461,463,0.005924
lmsys_0000901,palm-2,claude-3-opus,model_a,Japanese,2026-06-11T15:35:38.238241Z,1683,978,877,0.002361
lmsys_0000902,gpt-4-turbo,llama-2-70b,tie,Chinese,2026-06-11T22:29:53.238241Z,1003,494,690,6.2e-05
lmsys_0000903,claude-3-opus,davinci-003,model_a,Japanese,2026-05-21T04:00:38.238241Z,1810,671,768,0.004993
lmsys_0000904,gpt-4-turbo,llama-2-70b,model_b,French,2026-05-21T02:41:51.238241Z,1680,903,686,7.2e-05
lmsys_0000905,claude-3-5-sonnet,palm-2,tie,French,2026-06-06T15:16:32.238241Z,659,1392,408,0.002464
lmsys_0000906,davinci-003,palm-2,model_a,English,2026-05-25T07:16:48.238241Z,154,1396,563,0.001443
lmsys_0000907,gpt-3.5-turbo,claude-3-5-sonnet,model_a,German,2026-06-04T09:23:15.238241Z,1392,654,229,0.000954
lmsys_0000908,gpt-4-turbo,claude-3-5-sonnet,model_a,Japanese,2026-06-11T01:49:39.238241Z,382,948,556,0.001288
lmsys_0000909,llama-2-70b,gpt-4-turbo,model_a,Chinese,2026-05-30T00:31:47.238241Z,1567,1009,703,8e-06
lmsys_0000910,claude-3-5-sonnet,mistral-large,tie,French,2026-05-22T00:15:18.238241Z,1430,274,397,0.002274
lmsys_0000911,claude-3-5-sonnet,llama-2-70b,model_a,Spanish,2026-05-22T08:21:46.238241Z,1343,1199,644,0.003817
lmsys_0000912,claude-3-opus,palm-2,model_a,German,2026-06-02T15:53:04.238241Z,1187,1384,456,0.004785
lmsys_0000913,claude-3-opus,gpt-4-turbo,tie,English,2026-06-09T05:48:46.238241Z,991,1246,871,0.00394
lmsys_0000914,claude-3-opus,gpt-4,tie,German,2026-06-09T13:52:34.238241Z,1022,937,531,0.009922
lmsys_0000915,mistral-large,gpt-4-turbo,model_b,Spanish,2026-05-17T08:09:35.238241Z,1135,1207,522,0.001093
lmsys_0000916,gpt-4-turbo,davinci-003,model_a,French,2026-05-16T22:02:24.238241Z,1402,1267,430,0.003534
lmsys_0000917,gpt-4-turbo,claude-3-opus,model_b,Spanish,2026-05-21T02:57:48.238241Z,847,283,512,0.004413
lmsys_0000918,gpt-4,mistral-large,tie,English,2026-05-16T02:40:18.238241Z,1006,921,1156,2e-06
lmsys_0000919,davinci-003,claude-3-5-sonnet,model_a,German,2026-05-24T09:24:01.238241Z,1526,307,395,0.001761
lmsys_0000920,llama-2-70b,gpt-4-turbo,model_a,Japanese,2026-05-16T15:19:48.238241Z,548,1261,862,3.3e-05
lmsys_0000921,claude-3-5-sonnet,gpt-4,model_b,English,2026-06-03T21:47:01.238241Z,1325,615,455,0.003827
lmsys_0000922,mistral-large,llama-2-70b,tie,English,2026-05-13T09:32:36.238241Z,1051,963,1368,5.8e-05
lmsys_0000923,claude-3-opus,mistral-large,model_a,Japanese,2026-06-01T07:59:43.238241Z,269,696,615,0.004083
lmsys_0000924,davinci-003,gpt-4,tie,German,2026-06-10T20:10:30.238241Z,1155,992,245,0.001635
lmsys_0000925,gpt-3.5-turbo,claude-3-opus,tie,German,2026-05-30T03:25:57.238241Z,1587,409,696,0.004957
lmsys_0000926,gpt-4,gpt-3.5-turbo,tie,German,2026-05-16T17:30:23.238241Z,956,20,203,0.001863
lmsys_0000927,mistral-large,gpt-4-turbo,model_a,Spanish,2026-06-02T01:24:28.238241Z,894,1435,873,6e-06
lmsys_0000928,mistral-large,davinci-003,model_a,German,2026-05-17T02:50:10.238241Z,664,293,1288,5.8e-05
lmsys_0000929,gpt-3.5-turbo,mistral-large,tie,Japanese,2026-05-26T23:11:10.238241Z,1760,1488,1038,8.5e-05
lmsys_0000930,gpt-3.5-turbo,gpt-4,model_a,English,2026-05-28T17:54:53.238241Z,57,351,395,0.001613
lmsys_0000931,gpt-4-turbo,gpt-4,tie,German,2026-06-11T04:57:49.238241Z,691,1355,562,0.004004
lmsys_0000932,llama-2-70b,claude-3-5-sonnet,tie,English,2026-06-09T20:20:24.238241Z,384,980,494,0.00196
lmsys_0000933,palm-2,gpt-3.5-turbo,model_a,English,2026-06-03T01:48:36.238241Z,151,504,558,0.001581
lmsys_0000934,claude-3-opus,gpt-3.5-turbo,tie,German,2026-05-30T04:50:33.238241Z,51,1361,417,0.000764
lmsys_0000935,gpt-4-turbo,llama-2-70b,model_a,English,2026-05-22T04:11:22.238241Z,149,1016,301,0.004322
lmsys_0000936,gpt-4-turbo,claude-3-opus,model_b,English,2026-05-28T14:58:52.238241Z,1144,699,860,0.00488
lmsys_0000937,mistral-large,gpt-3.5-turbo,model_a,English,2026-05-23T13:05:15.238241Z,1290,1147,1142,5.6e-05
lmsys_0000938,llama-2-70b,gpt-4,model_a,German,2026-05-31T15:08:26.238241Z,1974,223,1634,2.2e-05
lmsys_0000939,palm-2,gpt-4,tie,German,2026-05-28T04:07:07.238241Z,1612,327,723,0.002668
lmsys_0000940,gemini-pro,palm-2,model_b,French,2026-06-04T17:07:53.238241Z,1779,557,837,0.001813
lmsys_0000941,gemini-pro,claude-3-5-sonnet,model_a,Chinese,2026-05-15T09:17:57.238241Z,1250,1327,519,0.00069
lmsys_0000942,gpt-4-turbo,palm-2,model_a,Japanese,2026-05-19T15:43:01.238241Z,441,1320,569,0.001332
lmsys_0000943,gpt-4,gpt-3.5-turbo,model_a,French,2026-05-26T11:00:34.238241Z,270,286,539,0.003376
lmsys_0000944,davinci-003,gpt-4-turbo,tie,English,2026-06-03T23:59:23.238241Z,1465,101,465,0.002855
lmsys_0000945,gpt-4,gpt-4-turbo,model_b,Chinese,2026-05-25T20:43:20.238241Z,1990,1044,342,0.004891
lmsys_0000946,llama-2-70b,davinci-003,model_b,English,2026-05-21T07:14:04.238241Z,1289,1415,551,0.002162
lmsys_0000947,palm-2,claude-3-opus,model_a,Japanese,2026-06-01T06:05:51.238241Z,928,1330,386,0.003931
lmsys_0000948,gemini-pro,gpt-3.5-turbo,model_a,French,2026-05-20T07:30:55.238241Z,646,898,600,0.00236
lmsys_0000949,claude-3-opus,davinci-003,model_b,French,2026-05-19T23:05:05.238241Z,28,726,257,0.001057
lmsys_0000950,claude-3-5-sonnet,palm-2,model_a,German,2026-05-15T23:29:40.238241Z,1209,283,688,0.004634
lmsys_0000951,mistral-large,gpt-4,tie,Japanese,2026-06-03T01:59:27.238241Z,1454,894,483,0.006466
lmsys_0000952,davinci-003,llama-2-70b,model_a,French,2026-05-15T16:45:33.238241Z,619,429,678,0.001941
lmsys_0000953,mistral-large,gemini-pro,tie,German,2026-05-28T22:52:13.238241Z,763,942,357,0.001132
lmsys_0000954,gpt-4-turbo,gemini-pro,model_b,Japanese,2026-05-23T11:00:19.238241Z,337,180,593,0.002615
lmsys_0000955,davinci-003,gpt-4,model_b,Chinese,2026-06-02T15:05:21.238241Z,356,430,468,0.006256
lmsys_0000956,gpt-4,gpt-3.5-turbo,model_a,Japanese,2026-05-25T21:30:58.238241Z,451,935,305,0.007448
lmsys_0000957,gpt-4,claude-3-opus,tie,German,2026-05-20T22:33:55.238241Z,1045,401,550,0.003819
lmsys_0000958,gpt-4-turbo,gpt-4,tie,German,2026-05-18T16:14:07.238241Z,1135,512,532,0.002337
lmsys_0000959,davinci-003,palm-2,model_b,English,2026-06-02T03:23:02.238241Z,604,447,639,0.001691
lmsys_0000960,llama-2-70b,gpt-4-turbo,model_a,Chinese,2026-06-09T07:30:09.238241Z,1261,189,1636,3.2e-05
lmsys_0000961,gpt-4-turbo,davinci-003,tie,Chinese,2026-06-02T16:54:29.238241Z,1249,1079,459,0.003134
lmsys_0000962,gemini-pro,llama-2-70b,tie,Spanish,2026-05-25T15:05:28.238241Z,1781,18,1373,2.6e-05
lmsys_0000963,palm-2,gemini-pro,tie,Japanese,2026-05-14T04:11:05.238241Z,1069,527,507,0.001986
lmsys_0000964,palm-2,claude-3-opus,tie,English,2026-05-21T12:06:12.238241Z,871,770,684,0.001351
lmsys_0000965,gpt-4,gpt-3.5-turbo,model_a,English,2026-05-18T11:09:34.238241Z,1113,581,529,0.002449
lmsys_0000966,gpt-4-turbo,gpt-4,model_b,Spanish,2026-05-20T06:19:02.238241Z,351,1456,372,0.006229
lmsys_0000967,mistral-large,gpt-4-turbo,tie,Japanese,2026-05-19T22:44:35.238241Z,707,1423,617,0.003638
lmsys_0000968,claude-3-5-sonnet,gemini-pro,tie,French,2026-05-30T06:36:09.238241Z,330,58,736,0.001054
lmsys_0000969,gpt-4-turbo,gpt-4,model_a,Japanese,2026-06-03T14:40:06.238241Z,1964,225,631,0.004861
lmsys_0000970,davinci-003,llama-2-70b,model_b,English,2026-05-23T05:08:05.238241Z,215,1326,931,2.1e-05
lmsys_0000971,mistral-large,claude-3-5-sonnet,model_b,Japanese,2026-05-15T13:22:22.238241Z,824,495,713,0.002841
lmsys_0000972,claude-3-5-sonnet,claude-3-opus,model_a,French,2026-06-09T23:03:02.238241Z,1433,55,788,0.003746
lmsys_0000973,claude-3-5-sonnet,gemini-pro,model_a,English,2026-05-15T02:14:31.238241Z,521,287,608,0.002965
lmsys_0000974,gpt-4,gpt-4-turbo,model_a,German,2026-06-07T20:17:08.238241Z,959,1215,595,0.008432
lmsys_0000975,gpt-4-turbo,llama-2-70b,tie,French,2026-06-07T05:28:36.238241Z,1417,634,1434,3.4e-05
lmsys_0000976,gemini-pro,palm-2,model_b,Japanese,2026-05-20T18:52:31.238241Z,605,779,749,0.001375
lmsys_0000977,davinci-003,gpt-3.5-turbo,model_a,Spanish,2026-05-16T02:35:34.238241Z,1706,1360,694,0.002682
lmsys_0000978,gpt-3.5-turbo,gemini-pro,model_b,French,2026-06-07T02:31:46.238241Z,673,1420,422,0.00281
lmsys_0000979,claude-3-5-sonnet,gpt-3.5-turbo,model_a,Chinese,2026-05-19T12:12:58.238241Z,804,73,564,0.002683
lmsys_0000980,gpt-3.5-turbo,claude-3-opus,model_b,English,2026-05-29T19:44:42.238241Z,176,39,741,0.004991
lmsys_0000981,mistral-large,gpt-4-turbo,tie,English,2026-05-19T03:35:11.238241Z,1734,652,719,6.7e-05
lmsys_0000982,gpt-3.5-turbo,claude-3-5-sonnet,model_a,Spanish,2026-06-10T01:02:26.238241Z,733,892,258,0.001595
lmsys_0000983,mistral-large,davinci-003,model_b,Japanese,2026-05-26T20:31:26.238241Z,1680,967,407,0.002065
lmsys_0000984,claude-3-opus,claude-3-5-sonnet,model_a,English,2026-06-06T22:29:15.238241Z,1501,598,508,0.002988
lmsys_0000985,claude-3-opus,llama-2-70b,model_a,English,2026-06-10T14:26:56.238241Z,812,889,870,0.003098
lmsys_0000986,palm-2,mistral-large,tie,Spanish,2026-05-16T23:15:31.238241Z,1654,400,366,0.001474
lmsys_0000987,gpt-3.5-turbo,mistral-large,tie,English,2026-05-18T09:36:31.238241Z,1726,350,435,0.000545
lmsys_0000988,gpt-4-turbo,palm-2,tie,French,2026-05-27T06:20:15.238241Z,270,169,370,0.001975
lmsys_0000989,gpt-4-turbo,claude-3-opus,model_b,French,2026-05-13T19:42:50.238241Z,424,138,514,0.002627
lmsys_0000990,gpt-4,davinci-003,tie,French,2026-05-21T09:44:04.238241Z,294,786,367,0.007466
lmsys_0000991,davinci-003,palm-2,tie,English,2026-06-05T02:07:54.238241Z,1986,154,674,0.003971
lmsys_0000992,claude-3-5-sonnet,llama-2-70b,model_b,German,2026-05-31T20:30:52.238241Z,1426,610,887,5e-05
lmsys_0000993,palm-2,claude-3-5-sonnet,model_a,French,2026-05-25T03:38:21.238241Z,731,64,625,0.001793
lmsys_0000994,gpt-4,gpt-3.5-turbo,model_b,French,2026-06-07T23:14:04.238241Z,1767,105,469,0.000504
lmsys_0000995,claude-3-5-sonnet,gpt-4-turbo,model_a,German,2026-06-02T13:25:09.238241Z,1192,448,447,0.00469
lmsys_0000996,gpt-3.5-turbo,davinci-003,model_b,Chinese,2026-05-29T00:30:23.238241Z,1782,1175,483,0.002471
lmsys_0000997,mistral-large,gpt-3.5-turbo,model_a,English,2026-05-29T05:54:29.238241Z,132,201,1339,4.1e-05
lmsys_0000998,claude-3-5-sonnet,gemini-pro,model_a,Chinese,2026-05-21T22:19:03.238241Z,978,846,635,0.001229
lmsys_0000999,palm-2,mistral-large,tie,French,2026-06-10T15:02:35.238241Z,195,358,567,7.2e-05
lmsys_0001000,claude-3-5-sonnet,claude-3-opus,model_a,Spanish,2026-05-23T07:50:48.238241Z,1453,86,305,0.004356
lmsys_0001001,mistral-large,claude-3-opus,model_a,Spanish,2026-06-06T03:48:43.238241Z,1012,1397,992,2.7e-05
lmsys_0001002,gemini-pro,gpt-4-turbo,tie,French,2026-05-17T01:49:55.238241Z,1375,453,303,0.003806
lmsys_0001003,claude-3-5-sonnet,gpt-4,model_a,Chinese,2026-05-27T16:47:39.238241Z,1539,128,505,0.002617
lmsys_0001004,claude-3-opus,mistral-large,model_a,Spanish,2026-06-07T17:20:51.238241Z,519,281,462,0.00329
lmsys_0001005,claude-3-opus,llama-2-70b,model_a,Spanish,2026-05-17T04:57:08.238241Z,1193,235,867,0.004575
lmsys_0001006,gpt-4-turbo,gpt-3.5-turbo,model_b,German,2026-05-21T13:05:31.238241Z,892,1141,262,0.000597
lmsys_0001007,gemini-pro,llama-2-70b,model_a,Japanese,2026-06-02T00:40:14.238241Z,366,325,395,0.000868
lmsys_0001008,claude-3-opus,claude-3-5-sonnet,model_b,Spanish,2026-05-18T03:20:24.238241Z,440,250,743,0.002429
lmsys_0001009,llama-2-70b,gpt-3.5-turbo,model_a,Spanish,2026-06-11T01:27:34.238241Z,308,1082,659,1.3e-05
lmsys_0001010,mistral-large,claude-3-opus,model_a,German,2026-05-19T18:57:33.238241Z,1739,84,635,3.9e-05
lmsys_0001011,claude-3-opus,gpt-3.5-turbo,model_a,Spanish,2026-06-09T04:11:38.238241Z,1061,1472,537,0.00387
lmsys_0001012,gemini-pro,mistral-large,tie,English,2026-05-31T23:22:50.238241Z,775,322,1244,7.5e-05
lmsys_0001013,llama-2-70b,claude-3-5-sonnet,model_b,German,2026-05-23T10:23:12.238241Z,1879,810,729,0.002943
lmsys_0001014,palm-2,davinci-003,model_b,French,2026-05-21T20:21:14.238241Z,712,1363,459,0.001054
lmsys_0001015,gpt-4,llama-2-70b,tie,Japanese,2026-06-08T01:49:49.238241Z,346,949,483,0.006146
lmsys_0001016,gemini-pro,davinci-003,model_a,Japanese,2026-05-14T22:51:55.238241Z,957,759,453,0.001597
lmsys_0001017,davinci-003,palm-2,model_b,French,2026-06-06T04:56:21.238241Z,1342,154,774,0.00228
lmsys_0001018,gpt-4-turbo,davinci-003,model_a,Chinese,2026-06-05T08:41:20.238241Z,150,402,355,0.001238
lmsys_0001019,davinci-003,gpt-3.5-turbo,model_a,Chinese,2026-05-24T09:45:03.238241Z,975,1317,231,0.002301
lmsys_0001020,davinci-003,gemini-pro,model_a,French,2026-05-15T08:29:43.238241Z,488,379,271,0.001398
lmsys_0001021,davinci-003,claude-3-opus,tie,German,2026-05-26T19:36:43.238241Z,65,600,509,0.002917
lmsys_0001022,gpt-4,claude-3-5-sonnet,model_b,Spanish,2026-06-03T08:50:57.238241Z,206,414,683,0.00447
lmsys_0001023,gpt-4-turbo,claude-3-opus,tie,French,2026-05-13T20:49:51.238241Z,1634,1193,468,0.001102
lmsys_0001024,mistral-large,gpt-4-turbo,tie,German,2026-05-13T03:46:25.238241Z,1768,109,408,0.003351
lmsys_0001025,gpt-4-turbo,gemini-pro,tie,English,2026-05-17T10:28:40.238241Z,1845,480,348,0.002492
lmsys_0001026,claude-3-5-sonnet,claude-3-opus,model_a,German,2026-05-19T14:23:05.238241Z,1904,292,460,0.001298
lmsys_0001027,claude-3-5-sonnet,davinci-003,model_b,Chinese,2026-05-28T12:31:47.238241Z,934,31,327,0.002502
lmsys_0001028,gpt-4-turbo,gemini-pro,tie,Spanish,2026-06-02T23:37:58.238241Z,1606,628,559,0.001152
lmsys_0001029,davinci-003,llama-2-70b,model_b,Japanese,2026-05-27T15:03:43.238241Z,1844,1206,1356,8e-06
lmsys_0001030,davinci-003,claude-3-5-sonnet,tie,French,2026-05-19T08:12:22.238241Z,1369,82,569,0.001344
lmsys_0001031,gpt-3.5-turbo,mistral-large,model_b,French,2026-05-28T01:42:37.238241Z,1557,592,1109,7.1e-05
lmsys_0001032,gemini-pro,gpt-3.5-turbo,tie,Chinese,2026-05-25T21:41:56.238241Z,652,1034,285,0.000931
lmsys_0001033,llama-2-70b,gpt-4-turbo,model_b,Japanese,2026-05-25T20:05:07.238241Z,332,1399,419,0.001053
lmsys_0001034,gpt-4-turbo,llama-2-70b,model_a,German,2026-06-10T01:37:04.238241Z,50,1368,497,0.004786
lmsys_0001035,davinci-003,claude-3-opus,model_b,English,2026-05-20T21:40:50.238241Z,872,940,435,0.004914
lmsys_0001036,davinci-003,palm-2,tie,German,2026-05-16T14:28:00.238241Z,48,290,654,0.0017
lmsys_0001037,gemini-pro,mistral-large,model_a,Chinese,2026-05-13T08:58:52.238241Z,1166,508,470,0.001275
lmsys_0001038,davinci-003,gemini-pro,tie,Japanese,2026-06-08T17:15:11.238241Z,107,1188,388,0.002642
lmsys_0001039,mistral-large,llama-2-70b,model_b,English,2026-05-13T04:47:19.238241Z,712,100,679,6.6e-05
lmsys_0001040,claude-3-opus,mistral-large,tie,English,2026-05-27T21:58:33.238241Z,1630,934,463,0.004235
lmsys_0001041,mistral-large,gpt-4-turbo,model_a,German,2026-06-09T14:40:49.238241Z,494,547,582,8.7e-05
lmsys_0001042,llama-2-70b,davinci-003,tie,Chinese,2026-05-20T01:49:47.238241Z,266,540,1219,7.3e-05
lmsys_0001043,claude-3-opus,palm-2,model_b,Spanish,2026-06-08T16:46:26.238241Z,21,174,741,0.001775
lmsys_0001044,palm-2,claude-3-5-sonnet,tie,French,2026-06-03T13:53:21.238241Z,188,536,335,0.003257
lmsys_0001045,davinci-003,mistral-large,tie,Japanese,2026-06-10T05:38:35.238241Z,1128,1454,699,0.001641
lmsys_0001046,claude-3-5-sonnet,davinci-003,model_a,Japanese,2026-05-28T23:49:36.238241Z,828,446,383,0.00455
lmsys_0001047,gemini-pro,llama-2-70b,model_a,Spanish,2026-06-09T01:45:29.238241Z,759,505,401,0.002319
lmsys_0001048,llama-2-70b,mistral-large,model_b,Japanese,2026-06-02T13:04:38.238241Z,1475,911,1101,2e-05
lmsys_0001049,gpt-3.5-turbo,mistral-large,tie,German,2026-05-25T01:07:15.238241Z,1084,846,390,0.001249
